sistema,mutacao,estado,cypa,mode,affinity,rmsd_lb,rmsd_ub
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),1,-10.59,0.0,0.0
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),2,-8.252,1.516,2.789
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),3,-7.989,2.288,3.057
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),4,-7.927,2.393,3.379
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),5,-6.491,2.73,3.704
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),6,-6.267,2.265,11.2
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),7,-6.008,3.131,10.67
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),8,-6.001,2.584,5.322
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),9,-5.396,3.565,11.4
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),10,-5.347,3.576,11.19
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),11,-5.161,3.104,6.33
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),12,-5.111,3.457,11.02
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),13,-4.853,3.367,10.94
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),14,-4.185,2.718,11.11
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),15,-3.865,3.799,12.25
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),16,-3.704,3.348,11.63
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),17,-3.638,2.873,11.11
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),18,-3.25,3.113,5.99
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),19,-2.946,3.953,11.39
9BG5,KRAS G13D,ativo (GppNHp),Sim (tri-complexo),20,-2.622,2.33,4.161
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),1,-10.03,0.0,0.0
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),2,-9.229,1.607,2.879
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),3,-7.747,2.628,3.561
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),4,-7.283,2.433,11.15
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),5,-7.192,1.777,2.3
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),6,-6.742,2.986,6.199
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),7,-6.307,3.622,11.47
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),8,-5.993,1.719,2.441
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),9,-5.91,3.22,11.39
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),10,-5.775,3.129,6.381
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),11,-5.714,2.63,5.415
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),12,-5.629,3.522,11.27
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),13,-5.062,3.005,6.442
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),14,-4.907,3.522,6.594
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),15,-4.879,6.2,9.941
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),16,-4.832,3.206,11.58
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),17,-4.049,2.757,11.1
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),18,-4.047,2.277,3.885
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),19,-3.756,2.762,5.765
9BG9,KRAS WT,ativo (GppNHp),Sim (tri-complexo),20,-3.737,6.033,9.502
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),1,-7.436,0.0,0.0
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),2,-7.187,2.958,4.53
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),3,-7.172,1.842,3.446
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),4,-7.155,3.347,10.44
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),5,-7.153,2.674,9.499
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),6,-7.138,2.565,9.132
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),7,-7.106,3.16,9.989
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),8,-7.094,3.032,10.29
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),9,-6.977,2.514,9.932
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),10,-6.974,2.808,4.646
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),11,-6.972,2.366,4.943
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),12,-6.933,2.499,4.428
